year,month,DEN_REG,descCarburante,sum_prezzo,count_prezzo,mean_prezzo
2018,1,Abruzzo,Benzina,41609.534,26121,1.592953332567666
2018,1,Abruzzo,Benzina Plus 98,506.27,300,1.6875666666666667
2018,1,Abruzzo,Benzina speciale,136.21800000000002,90,1.5135333333333336
2018,1,Abruzzo,Blue Diesel,7378.429,4750,1.5533534736842105
2018,1,Abruzzo,Blue Super,3836.162,2190,1.7516721461187215
2018,1,Abruzzo,Excellium Diesel,2639.433,1676,1.574840692124105
2018,1,Abruzzo,GPL,2406.703,3658,0.6579286495352652
2018,1,Abruzzo,Gasolio,38065.266,26004,1.463823488694047
2018,1,Abruzzo,Gasolio Oro Diesel,576.433,330,1.7467666666666666
2018,1,Abruzzo,Gasolio Premium,833.06,518,1.608223938223938
2018,1,Abruzzo,Gasolio speciale,224.65,150,1.4976666666666667
2018,1,Abruzzo,Hi-Q Diesel,1090.045,630,1.730230158730159
2018,1,Abruzzo,HiQ Perform+,117.871,60,1.9645166666666667
2018,1,Abruzzo,Metano,712.505,755,0.9437152317880795
2018,1,Basilicata,Benzina,17424.887,10725,1.6246980885780884
2018,1,Basilicata,Blue Diesel,2755.078,1710,1.611156725146199
2018,1,Basilicata,Blue Super,1510.847,840,1.798627380952381
2018,1,Basilicata,Excellium Diesel,716.19,465,1.540193548387097
2018,1,Basilicata,GPL,834.412,1260,0.6622317460317461
2018,1,Basilicata,Gasolio,16114.916,10785,1.4941971256374593
2018,1,Basilicata,Gasolio Oro Diesel,254.7,180,1.415
2018,1,Basilicata,Gasolio Premium,1225.554,750,1.6340720000000002
2018,1,Basilicata,Gasolio speciale,174.012,120,1.4501
2018,1,Basilicata,Hi-Q Diesel,838.46,480,1.7467916666666667
2018,1,Basilicata,HiQ Perform+,107.94,60,1.799
2018,1,Basilicata,Metano,235.82999999999998,240,0.982625
2018,1,Calabria,Benzina,53442.186,32348,1.6521017064424386
2018,1,Calabria,Blue Diesel,8036.898999999999,5008,1.6048121006389775
2018,1,Calabria,Blue Super,4148.263,2320,1.788044396551724
2018,1,Calabria,Excellium Diesel,1828.108,1170,1.56248547008547
2018,1,Calabria,GPL,2139.736,3075,0.6958491056910568
2018,1,Calabria,Gasolio,48555.070999999996,32438,1.4968577285899254
2018,1,Calabria,Gasolio Gelo,46.089999999999996,30,1.536333333333333
2018,1,Calabria,Gasolio Oro Diesel,195.59,180,1.0866111111111112
2018,1,Calabria,Gasolio Premium,4791.232,3030,1.5812646864686468
2018,1,Calabria,Gasolio Speciale,226.68,120,1.889
2018,1,Calabria,Gasolio artico,91.26,60,1.5210000000000001
2018,1,Calabria,Hi-Q Diesel,4632.606,2636,1.757437784522003
2018,1,Calabria,HiQ Perform+,55.11,30,1.837
2018,1,Calabria,Metano,331.197,320,1.034990625
2018,1,Campania,Benzina,124923.168,77773,1.6062536870122022
2018,1,Campania,Benzina Plus 98,427.71000000000004,210,2.036714285714286
2018,1,Campania,Benzina Shell V Power,118.14,60,1.969
2018,1,Campania,Blue Diesel,12410.377,7780,1.5951641388174809
2018,1,Campania,Blue Super,5728.178,3250,1.7625163076923076
2018,1,Campania,Diesel Shell V Power,128.45000000000002,70,1.8350000000000002
2018,1,Campania,Excellium Diesel,5151.341,3299,1.5614856016974843
2018,1,Campania,GPL,4921.594,7838,0.6279145190099515
2018,1,Campania,Gasolio,112552.338,77773,1.4471903874095124
2018,1,Campania,Gasolio Oro Diesel,1220.154,720,1.6946583333333334
2018,1,Campania,Gasolio Premium,8991.758,5674,1.5847299964751498
2018,1,Campania,Gasolio Speciale,91.23,60,1.5205
2018,1,Campania,Gasolio artico,130.031,90,1.444788888888889
2018,1,Campania,Gasolio speciale,186.74,120,1.5561666666666667
2018,1,Campania,Hi-Q Diesel,7770.74,4444,1.7485913591359135
2018,1,Campania,HiQ Perform+,1074.376,584,1.8396849315068493
2018,1,Campania,Metano,2359.944,2460,0.9593268292682927
2018,1,Emilia-Romagna,Benzina,118659.41,74439,1.594048952833864
2018,1,Emilia-Romagna,Benzina Plus 98,1013.491,522,1.9415536398467432
2018,1,Emilia-Romagna,Benzina Speciale,193.20000000000002,120,1.61
2018,1,Emilia-Romagna,Benzina WR 100,1565.156,870,1.7990298850574713
2018,1,Emilia-Romagna,Benzina speciale,870.3199999999999,510,1.7065098039215685
2018,1,Emilia-Romagna,Blue Diesel,22643.674,14203,1.5942881081461662
2018,1,Emilia-Romagna,Blue Super,15017.114,8517,1.763192908301045
2018,1,Emilia-Romagna,Diesel e+10,557.6,360,1.548888888888889
2018,1,Emilia-Romagna,Excellium Diesel,8079.421,5162,1.5651726075164665
2018,1,Emilia-Romagna,GPL,8545.093,13174,0.6486331410353727
2018,1,Emilia-Romagna,Gasolio,109818.864,74469,1.474692341779801
2018,1,Emilia-Romagna,Gasolio Alpino,180.31,120,1.5025833333333334
2018,1,Emilia-Romagna,Gasolio Gelo,283.87800000000004,180,1.5771000000000002
2018,1,Emilia-Romagna,Gasolio Oro Diesel,867.441,504,1.7211130952380953
2018,1,Emilia-Romagna,Gasolio Premium,6825.7919999999995,4279,1.5951839214769805
2018,1,Emilia-Romagna,Gasolio Speciale,368.93,240,1.5372083333333333
2018,1,Emilia-Romagna,Gasolio artico,816.375,510,1.6007352941176471
2018,1,Emilia-Romagna,Gasolio speciale,1082.282,710,1.5243408450704223
2018,1,Emilia-Romagna,Hi-Q Diesel,6571.374,3674,1.788615677735438
2018,1,Emilia-Romagna,HiQ Perform+,3890.1910000000003,2070,1.8793193236714978
2018,1,Emilia-Romagna,Magic Diesel,0.06,60,0.001
2018,1,Emilia-Romagna,Metano,5722.009,6039,0.9475093558536182
2018,1,Emilia-Romagna,R100,308.03999999999996,180,1.7113333333333332
2018,1,Friuli Venezia Giulia,Benzina,33351.319,20992,1.5887632907774392
2018,1,Friuli Venezia Giulia,Benzina Plus 98,119.94000000000001,60,1.999
2018,1,Friuli Venezia Giulia,Benzina Speciale,157.303,90,1.747811111111111
2018,1,Friuli Venezia Giulia,Benzina WR 100,225.62,120,1.8801666666666668
2018,1,Friuli Venezia Giulia,Benzina speciale,152.17000000000002,90,1.690777777777778
2018,1,Friuli Venezia Giulia,Blu Diesel Alpino,343.63,210,1.6363333333333334
2018,1,Friuli Venezia Giulia,Blue Diesel,8099.286,5040,1.6070011904761905
2018,1,Friuli Venezia Giulia,Blue Super,4900.88,2760,1.77568115942029
2018,1,Friuli Venezia Giulia,Diesel e+10,147.54000000000002,90,1.6393333333333335
2018,1,Friuli Venezia Giulia,DieselMax,45.33,30,1.511
2018,1,Friuli Venezia Giulia,Excellium Diesel,2472.708,1530,1.6161490196078432
2018,1,Friuli Venezia Giulia,F101,151.45,90,1.6827777777777777
2018,1,Friuli Venezia Giulia,GP DIESEL,319.307,210,1.5205095238095239
2018,1,Friuli Venezia Giulia,GPL,1646.544,2520,0.6533904761904762
2018,1,Friuli Venezia Giulia,Gasolio,30325.887000000002,20512,1.4784461290951638
2018,1,Friuli Venezia Giulia,Gasolio Alpino,730.01,480,1.5208541666666666
2018,1,Friuli Venezia Giulia,Gasolio Gelo,86.65,60,1.4441666666666668
2018,1,Friuli Venezia Giulia,Gasolio Oro Diesel,475.082,300,1.5836066666666666
2018,1,Friuli Venezia Giulia,Gasolio Premium,3514.085,2211,1.5893645409317052
2018,1,Friuli Venezia Giulia,Gasolio Speciale,93.739,62,1.5119193548387098
2018,1,Friuli Venezia Giulia,Gasolio artico,889.27,600,1.4821166666666665
2018,1,Friuli Venezia Giulia,Gasolio speciale,583.973,360,1.6221472222222222
2018,1,Friuli Venezia Giulia,Hi-Q Diesel,1536.073,895,1.716282681564246
2018,1,Friuli Venezia Giulia,HiQ Perform+,1363.2649999999999,745,1.8298859060402684
2018,1,Friuli Venezia Giulia,Metano,203.48499999999999,210,0.9689761904761904
2018,1,Friuli Venezia Giulia,R100,258.5,150,1.7233333333333334
2018,1,Lazio,Benzina,152293.184,93156,1.6348188415131608
2018,1,Lazio,Benzina Plus 98,649.035,330,1.9667727272727271
2018,1,Lazio,Benzina Shell V Power,160.36,90,1.781777777777778
2018,1,Lazio,Blue Diesel,24906.406,15540,1.6027288288288288
2018,1,Lazio,Blue Super,15629.879,8712,1.7940632460973371
2018,1,Lazio,Diesel Shell V Power,150.36,90,1.6706666666666667
